"vesselFlagCountry","year","month","area","statisticalRectangle","exclusiveEconomicZone","weight"
"DK",2024,4,"27.3.a.20","43F8","EEC",1559.90792422213
"DK",2024,4,"27.3.a.20","44F9","",0
"DK",2024,4,"27.3.a.20","44F9","EEC",2973
"DK",2024,4,"27.4.b","39F7","EEC",471235.829603523
"DK",2024,4,"27.4.b","40F7","",0
"DK",2024,4,"27.4.b","40F7","EEC",1946906.05828377
"DK",2024,4,"27.4.b","41F4","EEC",189666.175298805
"DK",2024,4,"27.4.b","41F5","EEC",96658.8247011952
"DK",2024,4,"27.4.b","41F8","EEC",24735
"DK",2024,4,"27.4.b","43F8","",0
"DK",2024,4,"27.4.b","43F8","EEC",14189.2041884817
"DK",2024,5,"27.3.a.20","43F8","EEC",28761.65
"DK",2024,5,"27.3.a.20","44F9","",0
"DK",2024,5,"27.3.a.20","44F9","EEC",3869
"DK",2024,5,"27.4.b","37F3","EEC",48930.8333333333
"DK",2024,5,"27.4.b","39F4","EEC",64959.9244875944
"DK",2024,5,"27.4.b","39F6","EEC",355200.031920979
"DK",2024,5,"27.4.b","39F7","",0
"DK",2024,5,"27.4.b","39F7","EEC",878317.859756801
"DK",2024,5,"27.4.b","39F8","EEC",33647.8936430367
"DK",2024,5,"27.4.b","40F3","EEC",67045.4971545444
"DK",2024,5,"27.4.b","40F4","EEC",52378.0034013605
"DK",2024,5,"27.4.b","40F5","EEC",15378.1124195908
"DK",2024,5,"27.4.b","40F6","EEC",109362.385365854
"DK",2024,5,"27.4.b","40F7","",0
"DK",2024,5,"27.4.b","40F7","EEC",6330649.49327495
"DK",2024,5,"27.4.b","40F8","",0
"DK",2024,5,"27.4.b","40F8","EEC",22003.1378446115
"DK",2024,5,"27.4.b","41F4","EEC",329169.171926233
"DK",2024,5,"27.4.b","41F5","EEC",3516899.03737928
"DK",2024,5,"27.4.b","41F6","EEC",312024.597835946
"DK",2024,5,"27.4.b","41F7","EEC",39360.8487512894
"DK",2024,5,"27.4.b","41F8","",0
"DK",2024,5,"27.4.b","41F8","EEC",374873.157355689
"DK",2024,5,"27.4.b","42F6","EEC",1191565.09874152
"DK",2024,5,"27.4.b","42F7","EEC",234225.888297432
"DK",2024,5,"27.4.b","42F8","EEC",74461.3570276627
"DK",2024,5,"27.4.b","43F6","EEC",725879.236224593
"DK",2024,5,"27.4.b","43F7","",0
"DK",2024,5,"27.4.b","43F7","EEC",501182.25018423
"DK",2024,5,"27.4.b","43F8","EEC",8683.35
"DK",2024,5,"27.4.c","34F4","EEC",56434.1836734694
"DK",2024,6,"27.3.a.20","43F8","EEC",5767.47976878613
"DK",2024,6,"27.3.a.20","44F9","EEC",3151
"DK",2024,6,"27.3.a.21","42G1","EEC",1327
"DK",2024,6,"27.3.a.21","44G0","EEC",122
"DK",2024,6,"27.4.b","36F6","EEC",259588.961473008
"DK",2024,6,"27.4.b","37F3","EEC",153203.309297913
"DK",2024,6,"27.4.b","37F5","EEC",17.0675273088381
"DK",2024,6,"27.4.b","37F7","EEC",1253.58238745449
"DK",2024,6,"27.4.b","38F7","EEC",4328.62416666667
"DK",2024,6,"27.4.b","38F8","EEC",416.83862959285
"DK",2024,6,"27.4.b","39F4","EEC",1700748.49076549
"DK",2024,6,"27.4.b","39F6","EEC",1756248.94187842
"DK",2024,6,"27.4.b","39F7","EEC",89442.9253121696
"DK",2024,6,"27.4.b","39F8","EEC",97.8872889771599
"DK",2024,6,"27.4.b","40F3","EEC",458082.262443205
"DK",2024,6,"27.4.b","40F4","EEC",20240968.3392172
"DK",2024,6,"27.4.b","40F5","EEC",5792265.23911411
"DK",2024,6,"27.4.b","40F7","EEC",2204871.3852858
"DK",2024,6,"27.4.b","40F8","EEC",25165.3301365469
"DK",2024,6,"27.4.b","41F2","EEC",26167.6232201533
"DK",2024,6,"27.4.b","41F4","EEC",528771.517829613
"DK",2024,6,"27.4.b","41F5","EEC",5738371.21463836
"DK",2024,6,"27.4.b","41F6","EEC",28220.0332913012
"DK",2024,6,"27.4.b","41F7","EEC",38590.7114697363
"DK",2024,6,"27.4.b","41F8","EEC",70005.3781475028
"DK",2024,6,"27.4.b","42F6","EEC",72885.6866381928
"DK",2024,6,"27.4.b","42F7","EEC",210067.220924832
"DK",2024,6,"27.4.b","43F6","EEC",255494.526194027
"DK",2024,6,"27.4.b","43F7","EEC",134840.848001038
"DK",2024,6,"27.4.c","34F4","EEC",10351.5749525617
"DK",2024,7,"27.4.b","36F5","EEC",100
"DK",2024,7,"27.4.b","36F6","EEC",50
"DK",2024,7,"27.4.b","38F6","EEC",2229.72972972973
"DK",2024,7,"27.4.b","38F7","EEC",14833.821575863
"DK",2024,7,"27.4.b","39F4","EEC",76161.2097877611
"DK",2024,7,"27.4.b","39F6","EEC",15791
"DK",2024,7,"27.4.b","39F7","EEC",2045.75220954524
"DK",2024,7,"27.4.b","40F3","EEC",107922.239579135
"DK",2024,7,"27.4.b","40F4","EEC",8447416.72753811
"DK",2024,7,"27.4.b","40F5","EEC",760130.335167985
"DK",2024,7,"27.4.b","40F7","EEC",19310.5218572537
"DK",2024,7,"27.4.b","41F4","EEC",1133389.89250887
"DK",2024,7,"27.4.b","41F5","EEC",509011.07502324
"DK",2024,7,"27.4.b","41F7","EEC",2816
"DK",2024,7,"27.4.b","41F8","",0
"DK",2024,7,"27.4.b","41F8","EEC",12489
"DK",2024,7,"27.4.b","42F6","EEC",117470.522909539
"DK",2024,7,"27.4.b","42F7","EEC",148257.336929938
"DK",2024,7,"27.4.b","43F6","EEC",143338.599842216
"DK",2024,7,"27.4.b","43F7","EEC",16862.2353408084
"DK",2024,7,"27.4.b","43F8","EEC",3778
"DK",2024,8,"27.3.a.21","43G0","EEC",7.77777777777778
"DK",2024,8,"27.3.a.21","43G1","EEC",2.22222222222222
"DK",2024,8,"27.3.d.24","38G4","EEC",298175
