                                    Sprat numbers by year/cruise/area (length table)                                    

year     cruise  dfuarea  no_fish
2024  BIT-1      22           208
2024  IBTS-1     24            44
2025  BRS21      22           385
2025  IN-FISKER  23            64
2026  BIT-2      24            31
2026  IBTS-2     22            52

                                     Sprat numbers by year/cruise/area (age table)                                      

year     cruise  dfuarea  no_fish
2024  BIT-1      22           208
2024  IBTS-1     24            44
2025  BRS21      22           385
2025  IN-FISKER  23            64
2026  BIT-2      24            31
2026  IBTS-2     22            52

